X,Y
655848.075,224101.493
655876.681366074,224110.401766399
655906.572509304,224111.992692715
655936.569818035,224111.590860794
655966.567126766,224111.189028873
655996.564435497,224110.787196951
656026.561744228,224110.38536503
656056.55905296,224109.983533109
656086.556361691,224109.581701188
656116.553722906,224109.373630214
656146.424979719,224111.948224293
656175.841711504,224117.792289127
656205.136119456,224124.260493105
656234.449889608,224130.63704116
656264.179145535,224134.521865515
656294.164892437,224135.123888859
656324.164884338,224135.101844923
656354.163972173,224134.987490436
656384.030194923,224132.355142268
656413.54725977,224127.003146713
656443.034536883,224121.480421978
656472.571547956,224116.249295463
656502.465865638,224113.957944639
656532.442191501,224114.93537838
656562.401113138,224116.504777734
