X,Y,Degree,Radius,ArcDeflection,ChordDirection,PointsDefl,DistanceBack,DistanceAhead
2151730.92002,735242.810032,,,,,,
2151773.00003,735256.059664,4.28204072143,1338.04845027,3.45751106359,73.3066420425,1.7287555318,44.1166691274,36.6246584349
2151808.24984,735266.00032,14.5366711376,394.146493175,9.39983809832,76.288189042,4.69991904915,36.6246584349,28.0191834765
2151835.74966,735271.37008,14.1737237371,404.239426251,7.83112427315,80.8806343455,3.91556213661,28.0191834765,27.2210600518
2151862.76003,735274.750336,22.4655641227,255.03824075,12.803895263,86.2095249249,6.40194763136,27.2210600518,29.7425508934
2151892.50016,735275.129968,11.6064098421,493.656352761,6.55951415085,90.8221352474,3.27975707556,29.7425508934,26.7659754396
2151919.23966,735273.939856,-1.68696799401,3396.37620373,-3.7377582229,90.9053057845,-1.86887911144,26.7659754396,194.773890665
2152113.99986,735271.629856,-0.099292979223,57703.7570646,-0.39223806808,90.580117892,-0.19611903404,194.773890665,200.256935839
2152314.24966,735269.940256,0.702096900153,8160.66550081,2.05570436157,90.8082551181,1.02785218078,200.256935839,92.5325068873
2152406.74998,735267.49984,-0.555632524754,10311.811667,-1.39352865295,91.0715785156,-0.696764326473,92.5325068873,158.266039715
2152565.00003,735265.250032,-2.07612273031,2759.74915532,-4.33935155431,90.2879553509,-2.16967577717,158.266039715,50.7238354095
2152615.70968,735266.449648,-6.07924545953,942.481758543,-4.72468664569,87.8244875718,-2.36234332283,50.7238354095,26.987425655
2152642.64032,735268.19944,-4.59067810924,1248.08967542,-2.47784968298,85.6630283489,-1.23892484148,26.987425655,26.9872018587
2152669.52661,735270.531088,-4.59235520517,1247.63388182,-2.61643170739,84.3550336719,-1.30821585369,26.9872018587,29.9851856037
2152699.33274,735273.803104,-4.59612058421,1246.61175579,-2.75638629755,83.0462486135,-1.37819314878,29.9851856037,29.9853873216
2152729.05174,735277.791088,-4.5905373663,1248.12794105,-2.61538724305,81.7377224927,-1.30769362153,29.9853873216,26.9868099731
2152755.70994,735281.989744,-7.14328045103,802.093378608,-8.2212311739,77.9027623783,-4.11061558697,26.9868099731,88.0580499257
2152841.48987,735301.890064,1.33084861156,4305.20639353,2.04898786554,77.3773691992,1.02449393277,88.0580499257,65.9007742061
2152905.94178,735315.632848,-0.632815507512,9054.10484303,-0.826137083829,77.7587861591,-0.413068541914,65.9007742061,64.6483802327
